website,number,name,WIKIDATA,councillor,clerk,clerk_phon,asst,phone,asst_phone,community,MS_FB,MS_FB_PARE
http://winnipeg.ca/Council/fort_rouge.stm,9.0000000000000000000000000000000,Fort Rouge - East Fort Garry,Q47490230,Jenny Gerbasi,Kate McMillan,204-986-8001,,204-986-5878,204-986-5937,City Centre,country:ca/csd:4611040/ward:9,country:ca/csd:4611040
http://winnipeg.ca/council/charleswood_tuxedo.stm,7.0000000000000000000000000000000,Charleswood - Tuxedo - Whyte Ridge,Q47490228,Marty Morantz,Destiny Watt,204-986-5971,Nikki Chenier-Leiter,204-986-5232,204-986-6982,Assiniboia,country:ca/csd:4611040/ward:7,country:ca/csd:4611040
http://winnipeg.ca/Council/mynarski.stm,2.0000000000000000000000000000000,Mynarski,Q47490223,Ross Eadie,Inga Skundberg,204-986-3856,Aaron McDowell,204-986-5188,204-986-6842,Lord Selkirk/West Kildonan,country:ca/csd:4611040/ward:2,country:ca/csd:4611040
http://winnipeg.ca/Council/st_charles.stm,6.0000000000000000000000000000000,St. Charles,Q47490227,Shawn Dobson,Destiny Watt,204-986-5971,Christy Lakie,204-986-5920,204-986-5921,Assiniboia,country:ca/csd:4611040/ward:6,country:ca/csd:4611040
http://winnipeg.ca/Council/st_boniface.stm,12.0000000000000000000000000000000,St. Boniface,Q47490233,Matt Allard,Rochelle Viray,204-986-2762,Ryan Palmquist,204-396-4636,204-290-9976,Riel,country:ca/csd:4611040/ward:12,country:ca/csd:4611040
http://winnipeg.ca/Council/st_vital.stm,11.0000000000000000000000000000000,St. Vital,Q47490232,Brian Mayes,Rochelle Viray,204-986-2762,Christa Ragoonath,204-986-5088,204-986-5981,Riel,country:ca/csd:4611040/ward:11,country:ca/csd:4611040
http://winnipeg.ca/Council/st_norbert.stm,10.0000000000000000000000000000000,South Winnipeg - St Norbert,Q47490231,Janice Lukes,Rochelle Viray,204-986-2762,Beverley Sawchuk,204-986-6824,204-986-6964,Riel,country:ca/csd:4611040/ward:10,country:ca/csd:4611040
http://winnipeg.ca/Council/transcona.stm,13.0000000000000000000000000000000,Transcona,Q47490234,Russ Wyatt,Andrew Poitras,204-986-6170,Tara Fawcett,204-986-8087,204-986-8088,East Kildonan/Transcona,country:ca/csd:4611040/ward:13,country:ca/csd:4611040
http://winnipeg.ca/council/north_kildonan.stm,15.0000000000000000000000000000000,North Kildonan,Q47490236,Jeff Browaty,Andrew Poitras,204-986-6170,Kyle Smoley,204-986-5196,204-986-5196,East Kildonan/Transcona,country:ca/csd:4611040/ward:15,country:ca/csd:4611040
http://winnipeg.ca/council/point_douglas.stm,3.0000000000000000000000000000000,Point Douglas,Q47490224,Mike Pagtakhan,Inga Skundberg,204-986-3856,Adelita Lumanta,204-986-8401,204-986-8402,Lord Selkirk/West Kildonan,country:ca/csd:4611040/ward:3,country:ca/csd:4611040
http://winnipeg.ca/Council/river_heights.stm,8.0000000000000000000000000000000,River Heights - Fort Garry,Q47490229,John Orlikow,Kate McMillan,204-986-8001,Georgina Sabesky,204-986-5236,204-986-6192,City Centre,country:ca/csd:4611040/ward:8,country:ca/csd:4611040
http://winnipeg.ca/Council/elmwood.stm,14.0000000000000000000000000000000,Elmwood - East Kildonan,Q47490235,Jason Schreyer,Andrew Poitras,204-986-6170,Chris Hurley,204-986-5195,204-986-3371,East Kildonan/Transcona,country:ca/csd:4611040/ward:14,country:ca/csd:4611040
http://winnipeg.ca/Council/old_kildonan.stm,1.0000000000000000000000000000000,Old Kildonan,Q47490222,Devi Sharma,Inga Skundberg,204-986-3856,Dorothy Roberts,204-986-5264,204-986-5264,Lord Selkirk/West Kildonan,country:ca/csd:4611040/ward:1,country:ca/csd:4611040
http://winnipeg.ca/Council/daniel_mcintyre.stm,4.0000000000000000000000000000000,Daniel McIntyre,Q47490225,Cindy Gilroy,Kate McMillan,204-986-8001,Rohit Popli,204-986-5951,204-986-5953,City Centre,country:ca/csd:4611040/ward:4,country:ca/csd:4611040
http://winnipeg.ca/Council/st_james.stm,5.0000000000000000000000000000000,St. James - Brooklands - Weston,Q47490226,Scott Gillingham,Destiny Watt,204-986-5971,Bernita Mottola,204-986-5848,204-986-5863,Assiniboia,country:ca/csd:4611040/ward:5,country:ca/csd:4611040
